Kp	Kd	Ki	Total error
0.388441	10.9574	0	527.627
0.388441	12.0531	0	637.146
0.388441	9.86166	0	759.765
0.427285	10.9574	0	451.599
0.427285	11.9436	0	561.334
0.427285	9.97123	0	753.083
0.470013	10.9574	0	410.129
0.470013	11.8449	0	492.286
0.470013	10.0699	0	552.569
0.517015	10.9574	0	543.093
0.423012	10.9574	0	476.869
0.470013	11.7562	0	507.272
0.470013	10.1586	0	638.382
0.512315	10.9574	0	387.495
0.512315	11.6763	0	452.637
0.512315	10.2385	0	624.582
0.558846	10.9574	0	368.164
0.558846	11.6044	0	388.822
0.558846	10.3104	0	588.441
0.61003	10.9574	0	374.712
0.507661	10.9574	0	422.789
0.558846	11.5397	0	473.444
0.558846	10.3751	0	544.66
0.604912	10.9574	0	355.369
0.604912	11.4815	0	405.303
0.604912	10.4333	0	626.765
0.655585	10.9574	0	374.175
0.554239	10.9574	0	434.884
0.604912	11.4291	0	430.302
0.604912	10.4857	0	548.544
0.650517	10.9574	0	373.312
0.559307	10.9574	0	422.094
0.604912	11.3819	0	559.67
0.604912	10.5329	0	342.789
0.645957	10.5329	0	393.98
0.563867	10.5329	0	518.34
0.604912	10.9999	0	361.245
0.604912	10.0659	0	390.836
0.641852	10.5329	0	476.666
0.567972	10.5329	0	560.644
0.604912	10.9532	0	352.498
0.604912	10.1126	0	435.443
0.638158	10.5329	0	574.397
0.571666	10.5329	0	398.843
0.604912	10.9111	0	407.587
0.604912	10.1546	0	471.292
0.634834	10.5329	0	560.805
0.57499	10.5329	0	340.663
0.57499	10.8733	0	432.901
0.57499	10.1925	0	564.553
0.607904	10.5329	0	345.277
0.542076	10.5329	0	420.811
0.57499	10.8393	0	425.886
0.57499	10.2265	0	512.323
0.604613	10.5329	0	362.254
0.545368	10.5329	0	463.19
0.57499	10.8086	0	549.12
0.57499	10.2572	0	366.97
0.60165	10.5329	0	412.358
0.54833	10.5329	0	604.323
0.57499	10.7811	0	360.462
0.57499	10.2847	0	416.702
0.598984	10.5329	0	444.719
0.550996	10.5329	0	566.685
0.57499	10.7562	0	415.207
0.57499	10.3095	0	490.804
0.596585	10.5329	0	593.317
0.553395	10.5329	0	346.173
0.57499	10.7339	0	418.589
0.57499	10.3319	0	540.043
0.594426	10.5329	0	378.318
0.555555	10.5329	0	420.62
0.57499	10.7138	0	493.655
0.57499	10.352	0	558.568
0.592482	10.5329	0	369.75
0.557498	10.5329	0	445.181
0.57499	10.6957	0	597.324
0.57499	10.3701	0	375.73
0.590733	10.5329	0	421.777
0.559248	10.5329	0	473.844
0.57499	10.6794	0	526.645
0.57499	10.3863	0	424.326
0.589159	10.5329	0	419.172
0.560822	10.5329	0	565.883
0.57499	10.6648	0	391.91
0.57499	10.401	0	473.617
0.587742	10.5329	0	558.554
0.562239	10.5329	0	354.89
0.57499	10.6516	0	362.675
0.57499	10.4142	0	464.858
0.586467	10.5329	0	561.538
0.563514	10.5329	0	396.738
0.57499	10.6397	0	421.606
0.57499	10.4261	0	576.495
0.585319	10.5329	0	363.858
0.564662	10.5329	0	458.184
0.57499	10.629	0	572.523
0.57499	10.4367	0	366.182
0.584286	10.5329	0	415.37
0.565694	10.5329	0	472.529
0.57499	10.6194	0	570.475
0.57499	10.4464	0	392.294
0.583356	10.5329	0	414.721
0.566624	10.5329	0	578.983
0.57499	10.6108	0	354.409
0.57499	10.455	0	496.896
0.58252	10.5329	0	602.721
0.567461	10.5329	0	379.415
0.57499	10.603	0	399.67
0.581767	10.5329	0	621.896
0.568214	10.5329	0	371.178
0.57499	10.596	0	448.413
0.57499	10.4698	0	459.54
0.581089	10.5329	0	367.168
0.568891	10.5329	0	435.874
0.57499	10.5897	0	424.434
0.57499	10.4761	0	551.851
0.580479	10.5329	0	372.337
0.569501	10.5329	0	424.105
0.57499	10.584	0	581.892
0.57499	10.4818	0	375.685
0.57993	10.5329	0	399.875
0.57005	10.5329	0	607.099
0.57499	10.5789	0	352.149
0.57499	10.4869	0	376.062
0.579436	10.5329	0	419.43
0.570544	10.5329	0	591.587
